jobtitle,company,domain,skills,salary,location,experience,posteddate,salary_min,salary_max,experience_level,primary_skill,city
Business Analyst,HCL,AI Research,"Spark, Excel, SQL, C++, Kubernetes","₹3,00,000 - ₹5,00,000",Mumbai,Entry,2025-08-09,300000,500000,Entry,Spark,Mumbai
Cloud Architect,Cognizant,Software Development,"C++, Tableau, Spark, Linux","₹3,00,000 - ₹5,00,000",Kolkata,Senior,2025-10-25,300000,500000,Senior,C++,Kolkata
Machine Learning Engineer,Cognizant,Business Analysis,"Linux, SQL, Spark","₹3,00,000 - ₹5,00,000",Hyderabad,Mid,2025-03-13,300000,500000,Mid,Linux,Hyderabad
DevOps Engineer,Google,AI Research,"AWS, Python, Linux, Kubernetes, Spark","₹6,00,000 - ₹9,00,000",Mumbai,Mid,2025-02-04,600000,900000,Mid,AWS,Mumbai
Security Analyst,Wipro,AI Research,"Linux, Spark, Tableau, Python, Docker","₹3,00,000 - ₹5,00,000",Hyderabad,Senior,2025-03-17,300000,500000,Senior,Linux,Hyderabad
Data Engineer,Amazon,Cybersecurity,"Linux, SQL, Excel, C++, Docker, React","₹10,00,000 - ₹15,00,000",Pune,Mid,2025-05-21,1000000,1500000,Mid,Linux,Pune
Data Engineer,Wipro,Web Development,"Java, Spark, Power BI, Python, Kubernetes","₹6,00,000 - ₹9,00,000",Delhi,Mid,2025-10-24,600000,900000,Mid,Java,Delhi
AI Engineer,Tech Mahindra,Software Development,"React, Python, Spark","₹6,00,000 - ₹9,00,000",Coimbatore,Entry,2025-09-23,600000,900000,Entry,React,Coimbatore
Data Engineer,Amazon,AI Research,"Spark, Linux, AWS, Kubernetes, Java","₹3,00,000 - ₹5,00,000",Kolkata,Mid,2025-09-12,300000,500000,Mid,Spark,Kolkata
Data Analyst,Amazon,Machine Learning,"React, Power BI, Excel","₹16,00,000 - ₹25,00,000",Pune,Mid,2025-08-27,1600000,2500000,Mid,React,Pune
Web Developer,Accenture,Web Development,"Java, Python, TensorFlow, Tableau, C++, Kubernetes","₹6,00,000 - ₹9,00,000",Bangalore,Mid,2025-06-12,600000,900000,Mid,Java,Bangalore
Machine Learning Engineer,Tech Mahindra,Business Analysis,"AWS, Excel, SQL, C++, Python","₹10,00,000 - ₹15,00,000",Pune,Mid,2025-09-03,1000000,1500000,Mid,AWS,Pune
Data Engineer,HCL,Cloud Engineering,"Docker, AWS, Java, Power BI","₹16,00,000 - ₹25,00,000",Hyderabad,Senior,2025-10-12,1600000,2500000,Senior,Docker,Hyderabad
Cloud Architect,Cognizant,Cloud Engineering,"TensorFlow, C++, Scala, Python, Docker, Excel","₹16,00,000 - ₹25,00,000",Delhi,Mid,2025-12-05,1600000,2500000,Mid,TensorFlow,Delhi
AI Engineer,Tech Mahindra,Software Development,"Excel, C++, Power BI, Java, AWS, Linux","₹10,00,000 - ₹15,00,000",Pune,Senior,2025-04-10,1000000,1500000,Senior,Excel,Pune
Data Analyst,TCS,Cybersecurity,"Tableau, React, SQL, Linux, AWS","₹10,00,000 - ₹15,00,000",Pune,Entry,2025-01-21,1000000,1500000,Entry,Tableau,Pune
Software Developer,TCS,Data Science,"Docker, Spark, TensorFlow","₹16,00,000 - ₹25,00,000",Kolkata,Mid,2025-03-23,1600000,2500000,Mid,Docker,Kolkata
AI Engineer,Cognizant,Software Development,"C++, SQL, Excel, Kubernetes","₹10,00,000 - ₹15,00,000",Hyderabad,Mid,2025-08-28,1000000,1500000,Mid,C++,Hyderabad
Data Engineer,Infosys,Cybersecurity,"Excel, TensorFlow, Spark, Python, Kubernetes, Linux","₹16,00,000 - ₹25,00,000",Bangalore,Entry,2025-02-01,1600000,2500000,Entry,Excel,Bangalore
DevOps Engineer,Infosys,Business Analysis,"TensorFlow, React, Spark","₹6,00,000 - ₹9,00,000",Chennai,Mid,2025-10-14,600000,900000,Mid,TensorFlow,Chennai
DevOps Engineer,Wipro,Software Development,"Linux, Docker, C++","₹10,00,000 - ₹15,00,000",Chennai,Senior,2025-09-03,1000000,1500000,Senior,Linux,Chennai
Cloud Architect,HCL,Web Development,"Power BI, Tableau, Scala, Java","₹16,00,000 - ₹25,00,000",Pune,Entry,2025-10-05,1600000,2500000,Entry,Power BI,Pune
Web Developer,Accenture,Data Science,"Tableau, Linux, C++","₹3,00,000 - ₹5,00,000",Pune,Senior,2025-06-28,300000,500000,Senior,Tableau,Pune
Data Engineer,Accenture,Data Science,"Docker, Power BI, Spark, C++, React, Excel","₹16,00,000 - ₹25,00,000",Kolkata,Senior,2025-06-04,1600000,2500000,Senior,Docker,Kolkata
DevOps Engineer,Microsoft,Business Analysis,"Java, Kubernetes, Tableau, TensorFlow","₹3,00,000 - ₹5,00,000",Kolkata,Senior,2025-10-23,300000,500000,Senior,Java,Kolkata
Data Analyst,Amazon,Machine Learning,"Power BI, C++, React","₹10,00,000 - ₹15,00,000",Mumbai,Senior,2025-05-05,1000000,1500000,Senior,Power BI,Mumbai
Security Analyst,Cognizant,Data Science,"Java, Linux, Power BI","₹6,00,000 - ₹9,00,000",Coimbatore,Senior,2025-03-16,600000,900000,Senior,Java,Coimbatore
Security Analyst,Microsoft,Web Development,"Excel, React, Python, C++, Scala","₹6,00,000 - ₹9,00,000",Delhi,Mid,2025-06-18,600000,900000,Mid,Excel,Delhi
Data Engineer,Microsoft,Cybersecurity,"Tableau, Python, Docker, Excel","₹6,00,000 - ₹9,00,000",Mumbai,Senior,2025-07-23,600000,900000,Senior,Tableau,Mumbai
Data Analyst,Amazon,Cybersecurity,"AWS, React, Kubernetes, Docker, Tableau, Excel","₹6,00,000 - ₹9,00,000",Hyderabad,Entry,2025-08-20,600000,900000,Entry,AWS,Hyderabad
Machine Learning Engineer,Infosys,Software Development,"Excel, React, Python, Kubernetes, Scala","₹3,00,000 - ₹5,00,000",Coimbatore,Senior,2025-01-06,300000,500000,Senior,Excel,Coimbatore
Cloud Architect,TCS,Machine Learning,"SQL, React, Docker, Java, Linux, AWS","₹6,00,000 - ₹9,00,000",Pune,Mid,2025-11-09,600000,900000,Mid,SQL,Pune
Software Developer,Cognizant,Cloud Engineering,"Docker, Spark, Tableau","₹10,00,000 - ₹15,00,000",Chennai,Entry,2025-01-14,1000000,1500000,Entry,Docker,Chennai
Business Analyst,Wipro,Business Analysis,"React, SQL, Java, Tableau, Excel","₹16,00,000 - ₹25,00,000",Chennai,Senior,2025-06-08,1600000,2500000,Senior,React,Chennai
Software Developer,Amazon,Business Analysis,"Spark, Scala, TensorFlow, SQL, AWS, Excel","₹3,00,000 - ₹5,00,000",Bangalore,Mid,2025-02-21,300000,500000,Mid,Spark,Bangalore
Machine Learning Engineer,Wipro,Business Analysis,"AWS, Linux, SQL","₹10,00,000 - ₹15,00,000",Hyderabad,Mid,2025-06-13,1000000,1500000,Mid,AWS,Hyderabad
AI Engineer,Cognizant,Software Development,"C++, Python, Power BI, Scala","₹3,00,000 - ₹5,00,000",Chennai,Senior,2025-07-18,300000,500000,Senior,C++,Chennai
Business Analyst,Infosys,Software Development,"TensorFlow, AWS, Docker, Scala, Kubernetes, Tableau","₹3,00,000 - ₹5,00,000",Chennai,Entry,2025-08-14,300000,500000,Entry,TensorFlow,Chennai
Data Engineer,TCS,Business Analysis,"Linux, Spark, SQL, Kubernetes","₹6,00,000 - ₹9,00,000",Pune,Entry,2025-03-23,600000,900000,Entry,Linux,Pune
Data Engineer,Google,AI Research,"Power BI, TensorFlow, Docker, React","₹16,00,000 - ₹25,00,000",Mumbai,Entry,2025-09-04,1600000,2500000,Entry,Power BI,Mumbai
DevOps Engineer,Amazon,Cybersecurity,"C++, Spark, Power BI","₹10,00,000 - ₹15,00,000",Pune,Senior,2025-10-03,1000000,1500000,Senior,C++,Pune
Machine Learning Engineer,Wipro,Data Science,"TensorFlow, Docker, Spark, Kubernetes, Scala","₹10,00,000 - ₹15,00,000",Mumbai,Entry,2025-12-02,1000000,1500000,Entry,TensorFlow,Mumbai
Web Developer,Wipro,Machine Learning,"React, Java, Power BI","₹10,00,000 - ₹15,00,000",Hyderabad,Mid,2025-04-22,1000000,1500000,Mid,React,Hyderabad
Software Developer,TCS,Software Development,"Python, Excel, Docker, C++, Kubernetes, Scala","₹6,00,000 - ₹9,00,000",Chennai,Mid,2025-10-23,600000,900000,Mid,Python,Chennai
Web Developer,TCS,Web Development,"C++, AWS, SQL, Java, React, Python","₹6,00,000 - ₹9,00,000",Pune,Mid,2025-08-25,600000,900000,Mid,C++,Pune
Security Analyst,Infosys,Cloud Engineering,"TensorFlow, Power BI, Excel, C++, Python","₹16,00,000 - ₹25,00,000",Bangalore,Mid,2025-12-03,1600000,2500000,Mid,TensorFlow,Bangalore
Business Analyst,Tech Mahindra,Business Analysis,"C++, Java, Scala, Kubernetes","₹10,00,000 - ₹15,00,000",Pune,Mid,2025-05-07,1000000,1500000,Mid,C++,Pune
Software Developer,HCL,AI Research,"Tableau, Python, Kubernetes, Excel, AWS","₹10,00,000 - ₹15,00,000",Kolkata,Mid,2025-12-05,1000000,1500000,Mid,Tableau,Kolkata
Software Developer,Cognizant,Data Science,"TensorFlow, Java, C++, Docker, Power BI","₹3,00,000 - ₹5,00,000",Bangalore,Entry,2025-07-25,300000,500000,Entry,TensorFlow,Bangalore
Web Developer,Accenture,Web Development,"Python, Java, Scala, Power BI","₹6,00,000 - ₹9,00,000",Coimbatore,Senior,2025-07-11,600000,900000,Senior,Python,Coimbatore
Data Engineer,HCL,Software Development,"React, TensorFlow, Docker, C++","₹16,00,000 - ₹25,00,000",Pune,Senior,2025-02-12,1600000,2500000,Senior,React,Pune
Business Analyst,TCS,AI Research,"Excel, TensorFlow, Power BI, Docker","₹10,00,000 - ₹15,00,000",Hyderabad,Entry,2025-03-09,1000000,1500000,Entry,Excel,Hyderabad
DevOps Engineer,Cognizant,Machine Learning,"Kubernetes, SQL, C++, Linux, Python, Power BI","₹6,00,000 - ₹9,00,000",Bangalore,Mid,2025-01-18,600000,900000,Mid,Kubernetes,Bangalore
